TradingDate,TradingTimeHour,ID,Min,Avg,Max,Count
2021-11-08,11:00,ORP.FR,93.44,93.67866178266176,93.82,91
2021-11-08,11:00,PAR.FR,55.25,55.25,55.25,1
2021-11-08,11:00,PERR.FR,83.8,83.8,83.8,1
2021-11-08,11:00,PEUG.FR,130.4,130.5,130.6,4
2021-11-08,11:00,PIG.FR,5.06,5.06,5.06,3
2021-11-08,11:00,POM.FR,23.5,23.684466666666676,23.76,30
2021-11-08,11:00,PREC.FR,34.207499999999996,34.208749999999995,34.21,2
2021-11-08,11:00,PSAT.FR,6.44,6.44,6.44,1
2021-11-08,11:00,QDT.FR,21.22,21.41293144208038,21.600000000000005,47
2021-11-08,11:00,RE.FR,134.66666666666666,135.05555555555554,135.5,3
2021-11-08,11:00,RF.FR,79.35,79.45555555555555,79.6,27
2021-11-08,11:00,RIN.FR,57.7,58.29533333333333,58.6,25
2021-11-08,11:00,ROTH.FR,40.1,40.151822916666674,40.35,48
2021-11-08,11:00,SEC.FR,0.81,0.81,0.81,1
2021-11-08,11:00,SELER.FR,94.0,94.0,94.0,1
2021-11-08,11:00,SEV.FR,19.695,19.697999999999993,19.7,20
2021-11-08,11:00,SFPI.FR,3.82,3.827902083333334,3.837749999999999,40
2021-11-08,11:00,TBGBS.FR,0.021,0.021857142857142856,0.024,7
2021-11-08,11:00,TCH.FR,2.684,2.7092098765432104,2.728,27
2021-11-08,11:00,TEP.FR,348.7,349.68558859624267,350.6,321
2021-11-08,11:00,TFI.FR,8.89,8.918472222222222,8.93,27
2021-11-08,11:00,TIPI.FR,68.0,68.0,68.0,2
2021-11-08,11:00,TRI.FR,166.2,166.60584415584415,167.0,22
2021-11-08,11:00,UBI.FR,46.85999999999999,46.9964799382716,47.19,108
2021-11-08,11:00,UFF.FR,17.8,17.85,17.9,2
2021-11-08,11:00,VCT.FR,38.4,38.46281250000003,38.65,64
2021-11-08,11:00,VIL.FR,5.825,5.848333333333333,5.88,3
2021-11-08,11:00,VK.FR,7.01,7.082889417319961,7.137499999999999,112
2021-11-08,11:00,VRAP.FR,17.9,17.9,17.9,1
2021-11-08,11:00,XFAB.FR,9.5,9.557003267973855,9.61,51
2021-11-08,12:00,ABVX.FR,27.5,27.55,27.6,5
2021-11-08,12:00,ACA.FR,13.294,13.344883887249141,13.386000000000001,479
2021-11-08,12:00,ADUX.FR,2.14,2.14,2.14,1
2021-11-08,12:00,ADVIC.FR,8.797999999999998,8.866791666666666,8.942,12
2021-11-08,12:00,AFME.FR,6.0,6.0,6.0,1
2021-11-08,12:00,AIR.FR,114.6,114.9333343978426,115.26,549
2021-11-08,12:00,AKW.FR,22.85,22.891666666666666,22.9,6
2021-11-08,12:00,ASY.FR,30.9,30.933333333333334,31.0,3
2021-11-08,12:00,ATE.FR,149.4,149.96039215686275,150.7,68
2021-11-08,12:00,AUB.FR,56.9,57.00416666666667,57.1,8
2021-11-08,12:00,AURE.FR,8.9,8.915,8.92,4
2021-11-08,12:00,AURS.FR,25.2,25.35,25.5,2
